ymd,hm,conzone_id,conzone_name,line_code,line_name,avg_speed,amount
20200101,0900,0010CZE010,구서IC-영락IC,1,일반차로,86.90,124
20200101,0900,0010CZE011,영락IC-부산TG,1,일반차로,92.85,132
20200101,0900,0010CZE020,부산TG-노포,1,일반차로,93.77,117
20200101,0900,0010CZE030,노포IC-노포JC,1,일반차로,94.73,91
20200101,0900,0010CZE035,노포JC-양산JC,1,일반차로,100.03,134
20200101,0900,0010CZE040,양산JC-양산IC,1,일반차로,103.56,161
20200101,0900,0010CZE050,양산IC-통도사Hi,1,일반차로,105.73,129
20200101,0900,0010CZE055,통도사Hi-서울산IC,1,일반차로,0.00,-1
20200101,0900,0010CZE060,통도사IC-서울산IC,1,일반차로,104.69,115
20200101,0900,0010CZE070,서울산IC-언양JC,1,일반차로,0.00,-1
20200101,0900,0010CZE080,언양JC-활천IC,1,일반차로,100.84,100
20200101,0900,0010CZE085,활천IC-경주IC,1,일반차로,112.34,80
20200101,0900,0010CZE090,경주IC-건천IC,1,일반차로,104.66,132
20200101,0900,0010CZE100,건천IC-영천JC,1,일반차로,110.52,139
20200101,0900,0010CZE105,영천JC-영천IC,1,일반차로,113.59,73
20200101,0900,0010CZE110,영천IC-경산IC,1,일반차로,112.04,75
20200101,0900,0010CZE120,경산IC-동대구JC,1,일반차로,96.19,68
20200101,0900,0010CZE130,동대구JC-도동JC,1,일반차로,100.05,156
20200101,0900,0010CZE140,도동JC-북대구IC,1,일반차로,111.12,206
20200101,0900,0010CZE150,북대구IC-금호JC,1,일반차로,102.99,183
20200101,0900,0010CZE160,금호JC-칠곡물류IC,1,일반차로,110.13,116
20200101,0900,0010CZE170,칠곡물류IC-왜관IC,1,일반차로,113.68,116
20200101,0900,0010CZE180,왜관IC-남구미IC,1,일반차로,108.68,100
20200101,0900,0010CZE190,남구미IC-구미IC,1,일반차로,107.07,75
20200101,0900,0010CZE200,구미IC-김천JC,1,일반차로,106.15,81
20200101,0900,0010CZE210,김천JC-동김천IC,1,일반차로,104.51,45
20200101,0900,0010CZE215,동김천IC-김천IC,1,일반차로,101.79,40
20200101,0900,0010CZE220,김천IC-추풍령IC,1,일반차로,108.00,49
20200101,0900,0010CZE230,추풍령IC-황간IC,1,일반차로,106.64,34
20200101,0900,0010CZE240,황간IC-영동IC,1,일반차로,106.55,28
20200101,0900,0010CZE250,영동IC-금강IC,1,일반차로,104.41,30
20200101,0900,0010CZE260,금강IC-옥천IC,1,일반차로,99.82,34
20200101,0900,0010CZE270,옥천IC-비룡JC,1,일반차로,102.10,53
20200101,0900,0010CZE280,비룡JC-대전IC,1,일반차로,86.53,51
20200101,0900,0010CZE290,대전IC-회덕JC,1,일반차로,102.79,69
