,collectiondb,creator,description,extent,language,regdate,rights,title
0,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이것은 미국에서 가장 영향력있는 흑인 여성 중 한 명으로 여겨지는 저자의 자전적 성장 소설입니다. 아동 강간, 인종 차별, 10 대 미혼모 등 그녀의 삶의 궤적은 번영과 발전의 빛에 가려진 미국의 현대사를 드러낸다.",408,Kor,2014-07-30T00:00:00+09:00,마야 안젤루/김욱동,새장에 갇힌 새가 왜 노래하는지 나는 아네
1,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,일제 강점기 한민족의 비극적 현실과 바람을 영화 《아리랑》에 녹여낸 한국 최초의 시나리오 작가이자 감독이자 배우였던 전설적인 영화 나웅규의 삶을 다양한 영상 소재로 감상했다. .,220,Kor,2014-07-01T00:00:00+09:00,"서경석 글, 금정수 그림",나운규 : 전설로 남은 한국 영화의 풍운아
2,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,중학생을 대상으로 설문 조사를 진행하고 가장 만나고 싶은 멘토 15 명을 선정 해 직접 이야기를 듣는 책이다. 책 기획과 제작의 모든 과정에 직접 참여하는 학생들의 매우 효과적인 진로 가이드 북으로 구성되었습니다.,356,Kor,2014-07-25T00:00:00+09:00,"이랑, 권혁준","10대, 우리들의 별을 만나다"
3,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"성형 외과, 원자력, 교복 자유화, 병역 거부 등 현직 사회 교사들이 12 가지 사회 문제를 신중하게 선택하고 이야기한다. 친절한 단어 설명과 풍부한 관련 자료 (기사, 다이어그램, 사진, 걸작)가 추가되었습니다.",288,Kor,2014-07-17T00:00:00+09:00,"윤용아 글, 문지후 그림",생각하는 십대를 위한 토론콘서트 : 사회
4,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,청소년을위한 광고 분석. 광고에 휩쓸 리지 않고 자신의 생명을 지킬 수 있도록 '광고'뒤에 숨겨진 사실을 어린이들에게 알려줍니다. 여기에는 광고 용어와 다양한 자료 및 활동이 함께 포함됩니다.,172,Kor,2014-07-20T00:00:00+09:00,샤리 그레이든 외/김루시아,광고는 왜 10대를 좋아할까
5,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 DNA의 이중 나선 구조를 발견 한 과학자 왓슨의 삶과 업적을 다루고 있으며, 유전자 생물학의 전사, 생명 과학의 배경과 기초 지식, 만화 스타일을 사용한 지금까지의 발전에 대해 궁금해합니다. 이해하기 쉬운 방법으로 해결되었습니다.",256,Kor,2014-07-30T00:00:00+09:00,"박승호 글, 최재정 그림",왓슨의 이중 나선 : 생명의 비밀을 엿보다
6,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,전국 80 개 학교에서 열린 '지콘 웃음 단'청소년 특강 중 가장 열광적 인 반응을 얻은 13 개의 강의를 모은 것이다.,300,Kor,2014-07-21T00:00:00+09:00,김준호 외,행복한 수업 : 개콘 웃음 군단의 가슴 찡한 성장기
7,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"문명 발전, 인간 생활, 세계 경제 발전을 변화시킨 소금, 모피, 보석, 향신료, 기름 등 5 가지 제품을 선정하여 세계사, 경제, 인간 생활에 대한 새로운 시각을 제공합니다. 국내 무역 전문가의 작품이라는 점에서 문명과 문화사를 다룬 기존 서적과 차별화된다.",388,Kor,2015-06-18T00:00:00+09:00,홍익희 ,세상을 바꾼 다섯 가지 상품 이야기
8,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이미지에 대한 철학적, 사회 학적 이해를 제공하는 청소년을위한 교양 도서입니다. 이미지와 나와의 관계, 그리고 시선의 사회적 힘, 거울 이미지, 선전 이미지 등 이미지와 사회에 대한 심도있는 통찰력을 제공합니다. 또한 이미지에 대한 이해가 나에 대한 반성에 어떻게 영향을 미치는지 보여줍니다.",240,Kor,2015-06-12T00:00:00+09:00,주형일 ,이미지가 아직도 이미지로 보이니?
9,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"초등학교와 중학교를위한 우리 몸과 건강에 관한 지식의 책. 파랑 누리 약국 최 약사의 이야기 형식으로 약국과 약품이하는 일부터 신약과 백신 개발, 약품의 부작용, 건강 보험에 이르기까지 약품에 대해 알아야 할 모든 것이 담겨 있습니다.",136,Kor,2015-06-15T00:00:00+09:00,"최혁재 글, 이해정 그림",모르는 게 약?
10,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"보기 좋고 읽기 쉬운 텍스트를 작성하는 핵심 원칙이 포함되어 있습니다. 블로그의 종류, 자기 소개서, 작업보고에 관계없이 지금 배워야 할 것은 문장을 쓰는 능력이 아니라 문장의 실수를 바로 잡는 '20 가지 기본 원칙 '입니다. 이 원칙을 따르면 모든 문장이 견고 해집니다.",168,Kor,2015-06-20T00:00:00+09:00,브랜던 로열/구미화,탄탄한 문장력
11,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,주인공은 야구단에서 쫓겨 난 김동해와 여자라서 야구단에 들어 가지 못한 공희 주다. 아이들의 마음 속에 담겨있는 대담하고 활기찬 에너지를 다양한 악조건에 굴복하지 않고 야구에 몰두 해 야구를 즐기는 아이들의 모습으로 읽을 수 있습니다.,156,Kor,2015-05-10T00:00:00+09:00,"진형민 글, 이한솔 그림","소리 질러, 운동장"
12,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"괴롭힘을 다룬 청년 소설과 학교 폭력의 대표적인 이슈 인 '빵 셔틀'이 중학교를 배경으로한다. 유머와 추리 기법이 절묘하게 조화를 이룬이 작품은 성적 우위, 사교육, 괴롭힘 등의 현 학교 현실에 맞서 자신의 균형을 찾아 성장하는 아이들의 힘을 긍정하고지지한다.",232,Kor,2015-06-19T00:00:00+09:00,정은숙 ,용기 없는 일주일
13,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,자신의 원칙을 정하고 1 년 동안 돈없이 살았던 작가는 자신이 현대 사회에서 소비 한 거의 모든 것이 낭비라는 것을 깨달았지만 예상보다 풍요로운 삶을 살 수 있었다고 말했다. 저자는 돈을 완전히 버리지 말고 불필요한 소비를 줄이고 우리가 소비하는 상품이 어디에서 어떻게 생산되는지에주의를 기울일 것을 호소합니다.,328,Kor,2010-08-31T00:00:00+09:00,마크 보일/ 정명진,돈 한푼 안 쓰고 1년 살기
14,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,이 책은 우리 삶에 큰 영향을 미치는 날씨를보다 즐겁게 받아 들일 수있는 노하우를 제시합니다. 과학 칼럼니스트 Christophe Dresser와 기상 서비스 회사 Meteormedia의 창립자 인 Yerk Kahelman은 날씨에 대해 알고있는 지식이 옳은지 틀린지 흥미롭게도 날씨에 대한 일반적인 과학 지식을 쉽게 풀 수 있습니다.,171,Kor,2010-09-03T00:00:00+09:00,크리스토퍼 드뢰서 외/ 유영미,"일기예보, 믿을까 말까?"
15,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,기후학을 전공 한 작가가 펼치는 한국의 자연 이야기입니다. 작가는 지리 란 그 속에 사는 주민들의 삶에 대한 이해라는 것을 전달하고 작가가 사진과 함께 발을 팔아 몸으로 깨달은 것을 보여준다. 산과 평야를 만들기 위해 지리의 기초가 될 수있는 산과 평야를 만들기 위해 한국을 둘러싼 물과 바다를 함께 엮어 기후와 지역의 계절적 변화를 해결한다.,220,Kor,2010-08-10T00:00:00+09:00,이승호,"자연과의 대화, 한국"
16,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"4,000 년의 중국 역사를 담은 서지 백과 사전. 중국 문화, 역사, 영적 역사의 흐름을 통 사적으로 이해하기 위해 100여 종류의 중국 고전을 수집하고 구성했습니다. 특히 봄과 가을부터 20 세기까지 3,000 년에 걸친 중국 고전은 크게 역사, 정치, 사상, 문학, 과학의 5 가지 범주로 분류되어 시대의 흐름에 따라 다루어졌다. 개정판입니다.",832,Kor,2010-08-13T00:00:00+09:00,다케우치 미노루 외/ 양억관,절대지식 중국고전
17,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"소설가 이병주 17 주년 기념 문학 평론가 김윤식과 김종회가 집필 한 수필집이다. 한국의 답답한 근대사를 겪은 이병주의 드라마틱 한 삶의 경험과 글이 만나는 시점을 엿볼 수있는 고백과이를 선택한 작가의 입장 등 다양한 성찰이 담겨있다. 문학, 역사, 철학에 대한 지식을 바탕으로 좌우 이념보다는 국경을 넘나 드는 것입니다. 에세이가 있습니다.",207,Kor,2010-09-10T00:00:00+09:00,이병주,문학을 위한 변명
18,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"가시가 많은 연꽃 이야기와 1 억 4 천만년의 고대 수수께끼를 간직한 우포 습지에서 펼쳐지는 친구들의 희망이 담겨 있습니다. 2 년에 걸친 촬영은 창녕 우포 습지 사계절의 아름다운 모습을 보여준다. 새벽의 물안개, 습지 위의 무지개, 설경, 원시 가래, 가래, 마른 풀, 푸른 풀로 뒤덮인 깨끗한 숲이 아름다운 동화와 조화를 이룹니다.",95,Kor,2010-10-20T00:00:00+09:00,신응섭,우포늪 가시연꽃
19,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"계급 사회였던 조선에서 '전문가'로 살았던 사람들의 삶을 다뤘다. 통일 군사 사회를지지하면서도 도움이 필요한 메달, 중요한 역할을 한 천문 역사 등 조선의 사회, 문화, 경제 분야의 다양한 전문가들의 삶을 통해 새로운 관점에서 역사를 봅니다. 농업 사회에서, 그리고 세분화되고 경쟁적인 입법자. 제가 할수 있어요.",381,Kor,2010-12-20T00:00:00+09:00,규장각한국학연구원,조선 전문가의 일생
