#date,checker,turbidity,ph,chlorine,temperature,conductivity
"01:00:00,","서초,",0.04,7.1,0.38,5.6,237.0
"01:00:00,","방배,",0.05,7.2,0.38,5.3,244.89085388183594
"01:00:00,","일원,",0.04,7.2,0.34,6.9,230.0
"01:00:00,","우면산,",0.02,7.1,0.41,5.3,221.0
"01:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"01:00:00,","봉은,",0.05,6.9,0.3,6.2,244.0
"01:00:00,","내곡동(연간단가),",0.05,7.137676239013672,0.4,6.0,214.0
"01:00:00,","반포동(자이A),",0.03,7.0,0.41,4.1,201.0
"01:00:00,","방배동(청두공원),",0.031018894165754318,7.088701248168945,0.31699714064598083,11.459102630615234,218.87567138671875
"18:00:00,","내곡,",0.06,7.0,0.24,8.2,221.0
"01:00:00,","우면동(품질시험소),",0.04,7.2,0.23,7.4,216.0
"01:00:00,","논현동(논현초교),",0.09,7.1,0.2,8.6,208.0
"01:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.0,204.0
"01:00:00,","삼성,",0.02,7.0,0.38,5.7,100.0
"01:00:00,","봉은,",0.04931141063570976,7.1,0.42,7.4,215.0
"01:00:00,","삼성,",0.02,7.0,0.38,5.7,100.0
"01:00:00,","자곡동(자곡증압),",0.04,7.1,0.35,3.7,218.0
"01:00:00,","반포,",0.04,7.1,0.37,4.9,234.8854522705078
"02:00:00,","서초,",0.04,7.1,0.38,5.7,237.0
"10:00:00,","방배,",0.05,7.2,0.38,5.3,214.0
"02:00:00,","일원,",0.04,7.1,0.38,6.9,229.0
"02:00:00,","우면산,",0.02,7.1,0.41,5.4,221.0
"02:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.9,213.0
"02:00:00,","반포,",0.05,6.9,0.3,6.1,243.0
"02:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.0,213.0
"02:00:00,","반포동(자이A),",0.03,7.0,0.4,4.2,201.0
"02:00:00,","방배동(청두공원),",0.02821057103574276,7.089771747589111,0.3227347433567047,11.957415580749512,224.17828369140625
"02:00:00,","내곡,",0.04,7.0,0.29,8.5,219.0
"02:00:00,","우면동(품질시험소),",0.04,7.2,0.24,7.4,216.0
"02:00:00,","논현동(논현초교),",0.0812235176563263,7.1,0.21,8.6,207.0
"02:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,204.0
"02:00:00,","삼성,",0.02,7.0,0.38,5.8,100.0
"02:00:00,","봉은,",0.05,7.1,0.41,7.3,215.0
"22:00:00,","수서,",0.02,7.0,0.37,5.8,100.0
"02:00:00,","자곡동(자곡증압),",0.04,7.1,0.38,3.6,218.0
"02:00:00,","삼성동(삼성증압),",0.04,7.1,0.37,5.0,231.0
"03:00:00,","서초,",0.04,7.1,0.38,5.6,237.0
"03:00:00,","방배,",0.05,7.2,0.38,5.3,214.0
"03:00:00,","일원,",0.04,7.1,0.35,7.0,230.0
"03:00:00,","우면산,",0.02,7.1,0.41,5.3,221.0
"03:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"03:00:00,","반포,",0.05,6.9,0.34,6.1,241.0
"03:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.1,213.0
"03:00:00,","반포동(자이A),",0.03,7.0,0.39,4.3,201.0
"03:00:00,","방배동(청두공원),",0.03137636184692383,7.0783796310424805,0.3112942576408386,12.042193412780762,225.416259765625
"03:00:00,","내곡,",0.06,7.0,0.28,8.2,220.0
"03:00:00,","우면동(품질시험소),",0.04,7.2,0.3099556565284729,7.3,216.0
"03:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.6,207.0
"03:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,204.0
"03:00:00,","삼성,",0.02,7.0,0.38,5.8,100.0
"03:00:00,","봉은,",0.05,7.1,0.41,7.3,215.0
"03:00:00,","수서,",0.02,7.0,0.36,5.8,100.0
"03:00:00,","자곡동(자곡증압),",0.04,7.1,0.37,3.6,218.0
"03:00:00,","삼성동(삼성증압),",0.04,7.1,0.37,5.0,230.0
"04:00:00,","서초,",0.04,7.1,0.38,5.7,236.0
"04:00:00,","방배,",0.05,7.2,0.38,5.3,214.0
"04:00:00,","일원,",0.04,7.2,0.3,7.1,257.60919189453125
"04:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"04:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.048031330108643,213.0
"04:00:00,","반포,",0.05,6.9,0.33,6.1,243.0
"04:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.2,214.0
"04:00:00,","반포동(자이A),",0.03,7.0,0.3924182653427124,4.5,201.0
"04:00:00,","방배동(청두공원),",0.0320153571665287,7.088490009307861,0.31730663776397705,12.167607307434082,217.28326416015625
"04:00:00,","내곡,",0.04,7.0,0.34,8.3,219.0
"04:00:00,","우면동(품질시험소),",0.04,7.2,0.24,7.3,216.0
"04:00:00,","논현동(논현초교),",0.0819549635052681,7.1,0.21,8.6,206.0
"04:00:00,","양재동(매헌초교),",0.11,7.1,0.32,5.9,205.0
"04:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"04:00:00,","봉은,",0.05,7.1,0.4,7.2,215.0
"04:00:00,","수서,",0.02,7.0,0.35,6.0,100.0
"04:00:00,","자곡동(자곡증압),",0.04,7.1,0.35,3.6,218.0
"04:00:00,","삼성동(삼성증압),",0.04,7.1,0.36,5.1,231.0
"05:00:00,","서초,",0.04,7.1,0.38,5.7,236.0
"05:00:00,","방배,",0.05,7.2,0.37,5.3,214.0
"05:00:00,","일원,",0.04,7.2,0.28,7.2,231.0
"05:00:00,","우면산,",0.02,7.1,0.31852665543556213,5.3,222.0
"05:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"05:00:00,","반포,",0.05,6.9,0.35,6.1,242.0
"05:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.1,213.0
"05:00:00,","반포동(자이A),",0.04,7.0,0.37,4.6,201.0
"05:00:00,","방배동(청두공원),",0.029497435316443443,7.0873589515686035,0.31625378131866455,11.405211448669434,217.93438720703125
"05:00:00,","내곡,",0.04,7.0,0.32,6.316201210021973,219.0
"05:00:00,","우면동(품질시험소),",0.04,7.2,0.22,7.3,215.0
"01:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.6,206.0
"05:00:00,","양재동(매헌초교),",0.1126040518283844,7.129162788391113,0.32,6.1798248291015625,205.0
"05:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"05:00:00,","봉은,",0.05,7.1,0.4,5.290416717529297,215.0
"05:00:00,","수서,",0.02,6.9921650886535645,0.34,6.0,100.0
"05:00:00,","자곡동(자곡증압),",0.04,7.1,0.34,3.7,219.0
"05:00:00,","삼성동(삼성증압),",0.04,7.1,0.36,5.1,261.82635498046875
"06:00:00,","서초,",0.04,7.1,0.39,5.6,236.0
"06:00:00,","방배,",0.05,7.2,0.37,5.3,215.0
"06:00:00,","일원,",0.04,7.2,0.27,7.2,231.0
"06:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"06:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"06:00:00,","반포,",0.05,6.9,0.35,6.1,242.0
"06:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.2,214.0
"06:00:00,","반포동(자이A),",0.04,7.0,0.36,4.7,201.0
"06:00:00,","방배동(청두공원),",0.02961251139640808,7.072997570037842,0.3129199147224426,12.231486320495605,223.64324951171875
"06:00:00,","내곡,",0.04,7.0,0.31,8.2,219.0
"06:00:00,","우면동(품질시험소),",0.04,7.2,0.25,7.2,215.0
"06:00:00,","논현동(논현초교),",0.09,7.1,0.21,23.66361427307129,205.0
"06:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.8,205.0
"06:00:00,","삼성,",0.01745935156941414,7.0,0.38,6.1,100.0
"06:00:00,","봉은,",0.05,7.1,0.4,7.1,215.0
"06:00:00,","수서,",0.02,7.0,0.33,6.1,100.0
"06:00:00,","자곡동(자곡증압),",0.04,7.1,0.3573600649833679,3.6,218.0
"06:00:00,","삼성동(삼성증압),",0.04,7.1,0.35,5.1,231.0
"07:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"07:00:00,","방배,",0.05,7.2,0.36,5.3,214.0
"07:00:00,","일원,",0.04,7.2,0.26,7.3,231.0
"07:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"07:00:00,","도곡동(강남수도),",0.05,7.0,0.26,4.8,214.0
"07:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"07:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.3,214.0
"07:00:00,","반포동(자이A),",0.04,7.0,0.33,4.7,201.0
"07:00:00,","방배동(청두공원),",0.028856931254267693,7.082603454589844,0.3058510720729828,11.566296577453613,223.04502868652344
"07:00:00,","내곡,",0.04,7.0,0.33,8.4,219.0
"07:00:00,","우면동(품질시험소),",0.04,7.2,0.25,7.2,215.0
"07:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.4,205.0
"07:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.8,204.0
"07:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"07:00:00,","봉은,",0.05,7.1,0.41,7.0,216.0
"07:00:00,","수서,",0.02,7.0,0.34,6.0,100.0
"07:00:00,","자곡동(자곡증압),",0.04,7.1,0.33,3.7,218.0
"07:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,231.0
"08:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"08:00:00,","방배,",0.05,7.2,0.35,5.4,249.6973419189453
"08:00:00,","일원,",0.04,7.2,0.27,7.4,231.0
"08:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"08:00:00,","도곡동(강남수도),",0.05,7.091238975524902,0.26,4.7,214.0
"08:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"08:00:00,","내곡동(연간단가),",0.05,7.2,0.3,6.2,213.0
"08:00:00,","반포동(자이A),",0.05,7.0,0.34,4.8,201.0
"14:00:00,","방배동(청두공원),",0.028990546241402626,7.080784797668457,0.31037572026252747,11.814374923706055,222.48812866210938
"08:00:00,","내곡,",0.05,7.0,0.29,8.6,218.0
"08:00:00,","우면동(품질시험소),",0.04,7.2,0.26,7.2,214.0
"08:00:00,","논현동(논현초교),",0.09,7.131795406341553,0.21,8.4,205.0
"08:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,205.0
"08:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"08:00:00,","봉은,",0.05,7.1,0.41,7.0,216.0
"08:00:00,","수서,",0.02,7.0,0.34,5.8,107.0721435546875
"08:00:00,","자곡동(자곡증압),",0.04,7.1,0.31,3.9,219.0
"08:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,231.0
"09:00:00,","서초,",0.04,7.1,0.39,5.6,236.0
"05:00:00,","방배,",0.05,7.2,0.35,5.4,215.0
"09:00:00,","일원,",0.04,7.1,0.26,7.4,230.0
"09:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"09:00:00,","도곡동(강남수도),",0.0478835254907608,7.0,0.27,4.7,214.0
"09:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"09:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.5,214.0
"09:00:00,","반포동(자이A),",0.05,7.0,0.33,4.9,200.0
"09:00:00,","방배동(청두공원),",0.02860283851623535,7.086289882659912,0.3165682256221771,11.72868537902832,227.0557403564453
"18:00:00,","내곡,",0.04,7.0,0.29,8.3,219.0
"09:00:00,","우면동(품질시험소),",0.04,7.2,0.28,7.2,214.0
"09:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.5,258.0980224609375
"09:00:00,","양재동(매헌초교),",0.11348854750394821,7.1,0.33,5.9,205.0
"09:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"09:00:00,","봉은,",0.05,7.1,0.41,6.9,216.0
"09:00:00,","수서,",0.02,7.0,0.34,5.8,100.0
"09:00:00,","자곡동(자곡증압),",0.04,7.1,0.34,3.9,218.0
"09:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,232.0
"10:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"22:00:00,","방배,",0.05,7.2,0.37,5.207009792327881,215.0
"10:00:00,","일원,",0.047979261726140976,7.1,0.3,7.1,230.0
"10:00:00,","우면산,",0.02,7.1,0.41,5.4,222.0
"10:00:00,","도곡동(강남수도),",0.05,7.0,0.26,4.8,214.0
"10:00:00,","반포,",0.05,6.9,0.36,6.0,241.0
"10:00:00,","내곡동(연간단가),",0.05,7.2,0.29,6.4,214.0
"10:00:00,","반포동(자이A),",0.05,7.0,0.32,5.0,200.0
"10:00:00,","방배동(청두공원),",0.028489839285612106,7.077754497528076,0.29653400182724,11.96648120880127,216.52548217773438
"10:00:00,","내곡,",0.05,7.0,0.28,8.5,219.0
"10:00:00,","우면동(품질시험소),",0.04,7.2,0.29,4.977944850921631,214.0
"10:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.6,205.0
"22:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,203.0
"10:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"10:00:00,","봉은,",0.05,7.1,0.41,6.9,236.6529541015625
"10:00:00,","수서,",0.02,7.0,0.33,5.8,100.0
"10:00:00,","자곡동(자곡증압),",0.04,7.151674747467041,0.33,4.0,219.0
"10:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.0,232.0
"11:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"11:00:00,","방배,",0.05,7.2,0.36,5.4,251.75335693359375
"11:00:00,","일원,",0.04,7.1,0.33,7.1,229.0
"11:00:00,","우면산,",0.02,7.1,0.41,5.4,222.0
"11:00:00,","도곡동(강남수도),",0.05,7.0,0.25,4.8,214.0
"11:00:00,","반포,",0.05,6.9,0.36,6.0,240.0
"11:00:00,","내곡동(연간단가),",0.05,7.2,0.27,6.3,214.0
"11:00:00,","반포동(자이A),",0.04,7.0,0.38,4.3,199.0
"11:00:00,","방배동(청두공원),",0.02890382893383503,7.087285995483398,0.3111555874347687,11.344597816467285,224.88134765625
"11:00:00,","내곡,",0.04,7.0,0.3,8.2,219.0
"11:00:00,","우면동(품질시험소),",0.04,7.2,0.31,7.7,213.0
"11:00:00,","논현동(논현초교),",0.1,7.2,0.21,7.9,206.0
"11:00:00,","양재동(매헌초교),",0.11,7.1,0.32,6.2,204.0
"11:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"11:00:00,","봉은,",0.05,7.1,0.41,6.9,216.0
"11:00:00,","수서,",0.02,7.0,0.33,5.7,100.0
"11:00:00,","자곡동(자곡증압),",0.04,7.2,0.24,4.3,221.0
"11:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,232.0
"12:00:00,","서초,",0.04,7.1,0.39,5.8,236.0
"12:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
"12:00:00,","일원,",0.04,7.1,0.36605358123779297,7.0,228.0
"12:00:00,","우면산,",0.02,7.2,0.41,5.4,222.0
"12:00:00,","도곡동(강남수도),",0.05,7.0,0.25,4.9,214.0
"12:00:00,","반포,",0.05,7.0,0.36,6.0,240.0
"12:00:00,","내곡동(연간단가),",0.05,7.1,0.3,6.3,213.0
"12:00:00,","반포동(자이A),",0.0350501649081707,7.01597261428833,0.43,3.9,199.0
"12:00:00,","방배동(청두공원),",0.028191035613417625,7.096001148223877,0.31865397095680237,11.60342788696289,222.87889099121094
"12:00:00,","내곡,",0.04,7.0,0.26,8.4,219.0
"12:00:00,","우면동(품질시험소),",0.04,7.157262325286865,0.3,8.1,212.0
"12:00:00,","논현동(논현초교),",0.1,7.2,0.21,7.1,207.0
"12:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.5,249.77821350097656
"12:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"12:00:00,","봉은,",0.05,7.1,0.41,7.1,216.0
"12:00:00,","수서,",0.02,7.0,0.32,5.8,100.0
"12:00:00,","자곡동(자곡증압),",0.04,7.2,0.22,4.5,223.0
"12:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.2,233.0
"13:00:00,","봉은,",0.04,7.1,0.39,5.8,236.0
"13:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
"13:00:00,","일원,",0.04,7.1,0.28,7.1,229.0
"13:00:00,","우면산,",0.02,7.2,0.41,5.4,222.0
"13:00:00,","도곡동(강남수도),",0.05,7.0,0.23,5.0,214.0
"13:00:00,","반포,",0.05,7.0,0.37,6.0,238.0
"13:00:00,","내곡동(연간단가),",0.05,7.2,0.24,6.4,215.0
"13:00:00,","반포동(자이A),",0.03,7.0,0.41,4.0,199.0
"13:00:00,","방배동(청두공원),",0.04615798592567444,7.082864761352539,0.34646469354629517,5.981783390045166,241.48304748535156
"13:00:00,","내곡,",0.04,7.0,0.26,8.2,220.0
"13:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.4,211.0
"13:00:00,","논현동(논현초교),",0.1,7.1,0.21,6.8,208.0
"13:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.9,201.0
"13:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"13:00:00,","봉은,",0.05,7.1,0.41,7.0,217.0
"13:00:00,","수서,",0.02,7.0,0.31,5.8,100.0
"13:00:00,","자곡동(자곡증압),",0.04,7.2,0.34,4.4,220.0
"13:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.5,234.0
"14:00:00,","서초,",0.04,7.1,0.38,5.8,236.0
"14:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
"14:00:00,","일원,",0.04,7.1,0.27,7.2,229.0
"14:00:00,","우면산,",0.02,7.2,0.41,5.4,223.0
"14:00:00,","도곡동(강남수도),",0.05,7.1,0.22,4.846473693847656,214.0
"14:00:00,","반포,",0.05,7.0,0.37,6.0,238.0
"14:00:00,","내곡동(연간단가),",0.05,7.2,0.25,6.3,216.0
"14:00:00,","반포동(자이A),",0.03,7.0,0.42,4.0,199.0
"14:00:00,","방배동(청두공원),",0.02862802892923355,7.083698272705078,0.30624890327453613,11.365913391113281,220.39459228515625
"14:00:00,","내곡,",0.04,7.0,0.28,8.4,218.0
"14:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.2,211.0
"14:00:00,","논현동(논현초교),",0.1,7.1,0.21,6.6,206.0
"14:00:00,","양재동(매헌초교),",0.10995358973741531,7.1,0.33,7.3,200.0
"14:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"14:00:00,","봉은,",0.05,7.1,0.41,7.1,250.6586151123047
"14:00:00,","수서,",0.02,7.0,0.32,5.7,100.0
"14:00:00,","자곡동(자곡증압),",0.04,7.2,0.31,4.5,220.0
"14:00:00,","삼성동(삼성증압),",0.04,7.2,0.33,5.6,234.0
"15:00:00,","서초,",0.04,7.1,0.38,5.9,236.0
"15:00:00,","방배,",0.05,7.2,0.37,5.5,216.0
"15:00:00,","일원,",0.04,7.1,0.31,7.2,261.6037292480469
"15:00:00,","우면산,",0.02,7.2,0.41,5.4,223.0
"15:00:00,","도곡동(강남수도),",0.05,7.1,0.23,4.9,214.0
"15:00:00,","반포,",0.05,7.0,0.37,6.0,237.0
"15:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.1,214.0
"15:00:00,","반포동(자이A),",0.03,6.9,0.42,4.1,199.0
"15:00:00,","방배동(청두공원),",0.02739565819501877,7.098886013031006,0.31318703293800354,11.527251243591309,225.5575408935547
