#date,checker,turbidity,ph,chlorine,temperature,conductivity
"01:00:00,","서초,",0.04,7.1,0.38,5.6,237.0
"01:00:00,","방배,",0.05,7.2,0.38,5.3,
"01:00:00,","일원,",0.04,7.2,0.34,6.9,230.0
"01:00:00,","우면산,",0.02,7.1,0.41,5.3,221.0
"01:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"01:00:00,",,0.05,6.9,0.3,6.2,244.0
"01:00:00,","내곡동(연간단가),",0.05,,0.4,6.0,214.0
"01:00:00,","반포동(자이A),",0.03,7.0,0.41,4.1,201.0
"01:00:00,","방배동(청두공원),",,,,,
,"내곡,",0.06,7.0,0.24,8.2,221.0
"01:00:00,","우면동(품질시험소),",0.04,7.2,0.23,7.4,216.0
"01:00:00,","논현동(논현초교),",0.09,7.1,0.2,8.6,208.0
"01:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.0,204.0
"01:00:00,","삼성,",0.02,7.0,0.38,5.7,100.0
"01:00:00,","봉은,",,7.1,0.42,7.4,215.0
"01:00:00,",,0.02,7.0,0.38,5.7,100.0
"01:00:00,","자곡동(자곡증압),",0.04,7.1,0.35,3.7,218.0
"01:00:00,",,0.04,7.1,0.37,4.9,
"02:00:00,","서초,",0.04,7.1,0.38,5.7,237.0
,"방배,",0.05,7.2,0.38,5.3,214.0
"02:00:00,","일원,",0.04,7.1,0.38,6.9,229.0
"02:00:00,","우면산,",0.02,7.1,0.41,5.4,221.0
"02:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.9,213.0
"02:00:00,","반포,",0.05,6.9,0.3,6.1,243.0
"02:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.0,213.0
"02:00:00,","반포동(자이A),",0.03,7.0,0.4,4.2,201.0
"02:00:00,","방배동(청두공원),",,,,,
"02:00:00,","내곡,",0.04,7.0,0.29,8.5,219.0
"02:00:00,",,0.04,7.2,0.24,7.4,216.0
"02:00:00,","논현동(논현초교),",,7.1,0.21,8.6,207.0
"02:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,204.0
"02:00:00,","삼성,",0.02,7.0,0.38,5.8,100.0
"02:00:00,","봉은,",0.05,7.1,0.41,7.3,215.0
,"수서,",0.02,7.0,0.37,5.8,100.0
"02:00:00,","자곡동(자곡증압),",0.04,7.1,0.38,3.6,218.0
"02:00:00,","삼성동(삼성증압),",0.04,7.1,0.37,5.0,231.0
"03:00:00,","서초,",0.04,7.1,0.38,5.6,237.0
"03:00:00,","방배,",0.05,7.2,0.38,5.3,214.0
"03:00:00,","일원,",0.04,7.1,0.35,7.0,230.0
"03:00:00,","우면산,",0.02,7.1,0.41,5.3,221.0
"03:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"03:00:00,","반포,",0.05,6.9,0.34,6.1,241.0
"03:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.1,213.0
"03:00:00,","반포동(자이A),",0.03,7.0,0.39,4.3,201.0
"03:00:00,","방배동(청두공원),",,,,,
"03:00:00,","내곡,",0.06,7.0,0.28,8.2,220.0
"03:00:00,","우면동(품질시험소),",0.04,7.2,,7.3,216.0
"03:00:00,",,0.09,7.1,0.21,8.6,207.0
"03:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,204.0
"03:00:00,","삼성,",0.02,7.0,0.38,5.8,100.0
"03:00:00,","봉은,",0.05,7.1,0.41,7.3,215.0
"03:00:00,","수서,",0.02,7.0,0.36,5.8,100.0
"03:00:00,","자곡동(자곡증압),",0.04,7.1,0.37,3.6,218.0
"03:00:00,","삼성동(삼성증압),",0.04,7.1,0.37,5.0,230.0
"04:00:00,","서초,",0.04,7.1,0.38,5.7,236.0
"04:00:00,","방배,",0.05,7.2,0.38,5.3,214.0
"04:00:00,","일원,",0.04,7.2,0.3,7.1,
"04:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"04:00:00,","도곡동(강남수도),",0.05,7.0,0.27,,213.0
"04:00:00,","반포,",0.05,6.9,0.33,6.1,243.0
"04:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.2,214.0
"04:00:00,","반포동(자이A),",0.03,7.0,,4.5,201.0
"04:00:00,","방배동(청두공원),",,,,,
"04:00:00,","내곡,",0.04,7.0,0.34,8.3,219.0
"04:00:00,","우면동(품질시험소),",0.04,7.2,0.24,7.3,216.0
"04:00:00,","논현동(논현초교),",,7.1,0.21,8.6,206.0
"04:00:00,","양재동(매헌초교),",0.11,7.1,0.32,5.9,205.0
"04:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"04:00:00,",,0.05,7.1,0.4,7.2,215.0
"04:00:00,","수서,",0.02,7.0,0.35,6.0,100.0
"04:00:00,","자곡동(자곡증압),",0.04,7.1,0.35,3.6,218.0
"04:00:00,","삼성동(삼성증압),",0.04,7.1,0.36,5.1,231.0
"05:00:00,","서초,",0.04,7.1,0.38,5.7,236.0
"05:00:00,","방배,",0.05,7.2,0.37,5.3,214.0
"05:00:00,","일원,",0.04,7.2,0.28,7.2,231.0
"05:00:00,","우면산,",0.02,7.1,,5.3,222.0
"05:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"05:00:00,","반포,",0.05,6.9,0.35,6.1,242.0
"05:00:00,","내곡동(연간단가),",0.05,7.2,0.36,6.1,213.0
"05:00:00,","반포동(자이A),",0.04,7.0,0.37,4.6,201.0
"05:00:00,","방배동(청두공원),",,,,,
"05:00:00,","내곡,",0.04,7.0,0.32,,219.0
"05:00:00,","우면동(품질시험소),",0.04,7.2,0.22,7.3,215.0
,"논현동(논현초교),",0.09,7.1,0.21,8.6,206.0
"05:00:00,","양재동(매헌초교),",,,0.32,,205.0
"05:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"05:00:00,","봉은,",0.05,7.1,0.4,,215.0
"05:00:00,","수서,",0.02,,0.34,6.0,100.0
"05:00:00,","자곡동(자곡증압),",0.04,7.1,0.34,3.7,219.0
"05:00:00,","삼성동(삼성증압),",0.04,7.1,0.36,5.1,
"06:00:00,","서초,",0.04,7.1,0.39,5.6,236.0
"06:00:00,","방배,",0.05,7.2,0.37,5.3,215.0
"06:00:00,","일원,",0.04,7.2,0.27,7.2,231.0
"06:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"06:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"06:00:00,","반포,",0.05,6.9,0.35,6.1,242.0
"06:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.2,214.0
"06:00:00,","반포동(자이A),",0.04,7.0,0.36,4.7,201.0
"06:00:00,","방배동(청두공원),",,,,,
"06:00:00,",,0.04,7.0,0.31,8.2,219.0
"06:00:00,","우면동(품질시험소),",0.04,7.2,0.25,7.2,215.0
"06:00:00,","논현동(논현초교),",0.09,7.1,0.21,,205.0
"06:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.8,205.0
