eventName,eventVenue,eventContent,startDate,endDate,startTime,endTime,eventOrganization,eventHost,phoneNumber,baseDate,code,providName
놀이패만월,남광주역,국악,2019-03-01,2019-11-30,17:30,18:00,놀이패만원,놀이패만원,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
미리내색소폰,남광주역,색소폰,2019-03-01,2019-11-30,17:00,17:30,미리내색소폰,미리내색소폰,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
빛고을실버오카리나합주단,남광주역,오카리나,2019-03-01,2019-11-30,16:00,16:30,빛고을실버오카리나합주단,빛고을실버오카리나합주단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
빛고을색소폰오케스트라,남광주역,색소폰,2019-03-01,2019-11-30,14:00,15:00,빛고을색소폰오케스트라,빛고을색소폰오케스트라,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
그린나눔공연예술단,남광주역,종합,2019-03-01,2019-11-30,14:00,15:00,그린나눔공연예술단,그린나눔공연예술단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
엘콘도르 팬사,남광주역,팬플룻,2019-03-01,2019-11-30,18:30,19:30,엘콘도르 팬사,엘콘도르 팬사,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
사랑보따리,남광주역,종합,2019-03-01,2019-11-30,14:00,15:00,사랑보따리,사랑보따리,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
연희단소리마디,평동역,국악,2019-03-01,2019-11-30,17:30,18:30,연희단소리마디,연희단소리마디,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
전국TOP 가요쇼,마이산북부 광장,문화공연,2021-02-25,2021-02-25,13:00,17:00,전라북도 진안군,문화체육과,063-430-2322,2021-09-15,4730000,전라북도 진안군
북한강문화나들이,북한강야외공연장,"타악, 댄스, 재즈, 인형극 등 다양한 장르의 상설공연",2021-07-17,2021-10-30,16:00,17:30,남양주시 문화정책과,남양주시,031-590-4598,2021-08-31,3990000,경기도 남양주시
