,eventName,eventVenue,eventContent,startDate,endDate,startTime,endTime,eventFare,eventOrganization,eventHost,phoneNumber,sponOrganization,numSeat,admissionFee,ageEntry,discountInfo,precaution,homepageLink,reserveInfo,parking,address1,address2,latitude,longitude,baseDate,code,providName,Unnamed: 27
0,놀이패만월,남광주역,국악,2019-03-01~,2019-11-30,17:30,18:00~,무료,놀이패만원,놀이패만원,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 네번째 화요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
1,미리내색소폰,남광주역,색소폰,2019-03-01~,2019-11-30,17:00,17:30~,무료,미리내색소폰,미리내색소폰,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 네번째 화요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
2,빛고을실버오카리나합주단,남광주역,오카리나,2019-03-01~,2019-11-30,16:00,16:30~,무료,빛고을실버오카리나합주단,빛고을실버오카리나합주단,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 세번째 화요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
3,빛고을색소폰오케스트라,남광주역,색소폰,2019-03-01~,2019-11-30,14:00,15:00~,무료,빛고을색소폰오케스트라,빛고을색소폰오케스트라,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 세번째 화요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
4,그린나눔공연예술단,남광주역,종합,2019-03-01~,2019-11-30,14:00,15:00~,무료,그린나눔공연예술단,그린나눔공연예술단,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 마지막주 월요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
5,엘콘도르 팬사,남광주역,팬플룻,2019-03-01~,2019-11-30,18:30,19:30~,무료,엘콘도르 팬사,엘콘도르 팬사,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,홀수달 세번째 화요일,해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
6,사랑보따리,남광주역,종합,2019-03-01~,2019-11-30,14:00,15:00~,무료,사랑보따리,사랑보따리,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,"매월 첫번째, 세번째 금요일",해당없음,해당없음,N,광주광역시 동구 제봉로 지하 1(학동),광주광역시 동구 학동 994,35.13931983,126.9229435,2021-09-16,B551232,광주광역시도시철도공사,0
7,연희단소리마디,평동역,국악,2019-03-01~,2019-11-30,17:30,18:30~,무료,연희단소리마디,연희단소리마디,062-604-8103,광주광역시도시철도공사,50.0,무료,제한없음,해당없음,매월 두번째주 토요일,해당없음,해당없음,N,광주광역시 광산구 평동로 870,광주광역시 광산구 월전동 51-23,35.12475401,126.7696048,2021-09-16,B551232,광주광역시도시철도공사,0
8,전국TOP 가요쇼,마이산북부 광장,문화공연,2021-02-25~,2021-02-25,13:00,17:00~,무료,전라북도 진안군,문화체육과,063-430-2322,0,0.0,무료,전체관람가,무료,0,0,무료,N,전라북도 진안군 진안읍 단양리 788,전라북도 진안군 진안읍 단양리 788,35.772695,127.415283,2021-09-15,4730000,전라북도 진안군,0
9,북한강문화나들이,북한강야외공연장,"타악, 댄스, 재즈, 인형극 등 다양한 장르의 상설공연",2021-07-17~,2021-10-30,16:00,17:30~,무료,남양주시 문화정책과,남양주시,031-590-4598,0,500.0,무료,제한없음,0,0,www.nyj.go.kr,0,Y,경기도 남양주시 화도읍 북한강로 1554,경기도 남양주시 화도읍 금남리 174-1,37.64732878,127.365632,2021-08-31,3990000,경기도 남양주시,0
10,뮤지엄남해 9월 전시,뮤지엄남해&동창선아트스테이,내 안의 빛,2021-07-01~,2021-09-30,10:00,18:00~,유료,뮤지엄남해,뮤지엄남해,055-867-2021,0,0,"성인 5,000원+청소년 4,000원+어린이 2,000원",0,홈페이지 참조,음식음료수 반입 금지,0,0,Y,경상남도 남해군 창선면 연곡로 13,경상남도 남해군 창선면 오용리 473-1,34.87020177,128.0407328,2021-09-06,5430000,경상남도 남해군,0
11,바래길작은미술관 9월 전시,남해바래길작은미술관,살만한교,2021-08-31~,2021-09-26,9:00,18:00~,무료,경상남도 남해군,(사)대안공간 마루,055-862-5557,0,0,0,0,0,0,0,0,Y,경상남도 남해군 남면 남면로1739번길 46-1,경상남도 남해군 남면 평산리 1738-5,0,0,2021-09-06,5430000,경상남도 남해군,0
12,남해유배문학관 9월 전시,남해유배문학관,남해미술협회 정기전,2021-09-10~,2021-09-26,9:00,18:00~,무료,경상남도 남해군,남해미술협회,055-860-8882,0,0,0,0,0,0,0,0,Y,경상남도 남해군 남해대로 2745,경상남도 남해군 남해읍 남변리 555,0,0,2021-09-06,5430000,경상남도 남해군,0
13,김명하의 흥겨운 영덕 아리랑,예주문화예술회관,음악회,2017-01-17~,2017-01-17,18:30,20:00~,무료,영덕아리랑보존회+사단법인 독도아리랑진흥회,영덕아리랑보존회,054-730-7771,울진아스콘+우정건설,531.0,무료,해당없음,해당없음,음식물 반입금지+공연중 동영상 및 사진촬영 금지,http://art.yd.go.kr,http://art.yd.go.kr,Y,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 성내리 산 43,36.52973493,129.40508459999998,2021-09-15,5180000,경상북도 영덕군,0
14,렉쳐 피아노 콘서트,예주문화예술회관,음악회,2017-01-25~,2017-01-25,19:20,21:00~,무료,경상북도 영덕군,경상북도 영덕군,054-730-7771,0,531.0,무료,해당없음,해당없음,음식물 반입금지+공연중 동영상 및 사진촬영 금지,http://art.yd.go.kr,http://art.yd.go.kr,Y,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 성내리 산 43,36.52973493,129.40508459999998,2021-09-15,5180000,경상북도 영덕군,0
15,봄을 여는 어우러기 희망콘서트,예주문화예술회관,음악회,2017-03-29~,2017-03-29,19:20,21:00~,무료,경상북도 영덕군,경상북도 영덕군,054-730-7771,0,531.0,무료,해당없음,해당없음,음식물 반입금지+공연중 동영상 및 사진촬영 금지,http://art.yd.go.kr,http://art.yd.go.kr,Y,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 성내리 산 43,36.52973493,129.40508459999998,2021-09-15,5180000,경상북도 영덕군,0
16,2017 새봄맞이 음악회,예주문화예술회관,음악회,2017-04-06~,2017-04-06,19:00,21:00~,무료,포항시립교향악단,경상북도 영덕군,054-730-7771,0,531.0,무료,해당없음,해당없음,음식물 반입금지+공연중 동영상 및 사진촬영 금지,http://art.yd.go.kr,http://art.yd.go.kr,Y,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 성내리 산 43,36.52973493,129.40508459999998,2021-09-15,5180000,경상북도 영덕군,0
17,신뻥파전 - 팔도유람,예주문화예술회관,음악회,2017-04-14~,2017-04-14,19:30,21:00~,무료,한국문화예술회관연합회,경상북도 영덕군,054-730-7771,기획재정부복권위원회,531.0,무료,해당없음,해당없음,음식물 반입금지+공연중 동영상 및 사진촬영 금지,http://art.yd.go.kr,http://art.yd.go.kr,Y,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 성내리 산 43,36.52973493,129.40508459999998,2021-09-15,5180000,경상북도 영덕군,0
